SubCategoryCode,CODE,SHORT DESCRIPTION (VALID ICD-10 FY2024),LONG DESCRIPTION (VALID ICD-10 FY2024)
F01,F0150,"Vascular dementia, unsp severity, without beh/psych/mood/anx","Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F01,F0151,Vascular dementia with behavioral disturbance,Vascular dementia with behavioral disturbance
F01,F01511,"Vascular dementia, unspecified severity, with agitation","Vascular dementia, unspecified severity, with agitation"
F01,F01518,"Vascular dementia, unsp severity, with other beh disturb","Vascular dementia, unspecified severity, with other behavioral disturbance"
F01,F0152,"Vascular dementia, unsp severity, with psychotic disturb","Vascular dementia, unspecified severity, with psychotic disturbance"
F01,F0153,"Vascular dementia, unspecified severity, with mood disturb","Vascular dementia, unspecified severity, with mood disturbance"
F01,F0154,"Vascular dementia, unspecified severity, with anxiety","Vascular dementia, unspecified severity, with anxiety"
F01,F01A0,"Vascular dementia, mild, without beh/psych/mood/anx","Vascular dementia, mild, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F01,F01A11,"Vascular dementia, mild, with agitation","Vascular dementia, mild, with agitation"
F01,F01A18,"Vascular dementia, mild, with other behavioral disturbance","Vascular dementia, mild, with other behavioral disturbance"
F01,F01A2,"Vascular dementia, mild, with psychotic disturbance","Vascular dementia, mild, with psychotic disturbance"
F01,F01A3,"Vascular dementia, mild, with mood disturbance","Vascular dementia, mild, with mood disturbance"
F01,F01A4,"Vascular dementia, mild, with anxiety","Vascular dementia, mild, with anxiety"
F01,F01B0,"Vascular dementia, moderate, without beh/psych/mood/anx","Vascular dementia, moderate, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F01,F01B11,"Vascular dementia, moderate, with agitation","Vascular dementia, moderate, with agitation"
F01,F01B18,"Vascular dementia, moderate, with other behavioral disturb","Vascular dementia, moderate, with other behavioral disturbance"
F01,F01B2,"Vascular dementia, moderate, with psychotic disturbance","Vascular dementia, moderate, with psychotic disturbance"
F01,F01B3,"Vascular dementia, moderate, with mood disturbance","Vascular dementia, moderate, with mood disturbance"
F01,F01B4,"Vascular dementia, moderate, with anxiety","Vascular dementia, moderate, with anxiety"
F01,F01C0,"Vascular dementia, severe, without beh/psych/mood/anx","Vascular dementia, severe, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F01,F01C11,"Vascular dementia, severe, with agitation","Vascular dementia, severe, with agitation"
F01,F01C18,"Vascular dementia, severe, with other behavioral disturbance","Vascular dementia, severe, with other behavioral disturbance"
F01,F01C2,"Vascular dementia, severe, with psychotic disturbance","Vascular dementia, severe, with psychotic disturbance"
F01,F01C3,"Vascular dementia, severe, with mood disturbance","Vascular dementia, severe, with mood disturbance"
F01,F01C4,"Vascular dementia, severe, with anxiety","Vascular dementia, severe, with anxiety"
F02,F0280,"Dem in oth dis classd elswhr, unsp sev, w/o beh/psych/mood/anx","Dementia in other diseases classified elsewhere, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety"
F02,F0281,Dementia in oth diseases classd elswhr w behavioral disturb,Dementia in other diseases classified elsewhere with behavioral disturbance
F02,F02811,"Dem in other dis classd elswhr, unsp severt, with agitation","Dementia in other diseases classified elsewhere, unspecified severity, with agitation"
F02,F02818,"Dem in oth dis classd elswhr, unsp sev, with oth beh distrb","Dementia in other diseases classified elsewhere, unspecified severity, with other behavioral disturbance"
F02,F0282,"Dem in other dis classd elswhr, unsp sev, with psych distrb","Dementia in other diseases classified elsewhere, unspecified severity, with psychotic disturbance"
